Port_IDs,Total_PnL,Win_Positions,Total_Positions,Win_Rate,Avg_PnL_per_Trade,Consistency_Score
3.6727546547349893e+18,0.0,0,1,0.0,0.0,0.0
3.733192481840424e+18,0.0,0,1,0.0,0.0,0.0
3.784403294629754e+18,0.0,0,1,0.0,0.0,0.0
3.7867616877467116e+18,0.0,0,1,0.0,0.0,0.0
3.8182335365298437e+18,0.0,0,1,0.0,0.0,0.0
3.819545518395756e+18,0.0,0,1,0.0,0.0,0.0
3.8260870126613914e+18,0.0,0,1,0.0,0.0,0.0
3.858510226868016e+18,0.0,0,1,0.0,0.0,0.0
3.86584530483549e+18,0.0,0,1,0.0,0.0,0.0
3.8786315384800676e+18,0.0,0,1,0.0,0.0,0.0
3.88092072736769e+18,0.0,0,1,0.0,0.0,0.0
3.886752488982104e+18,0.0,0,1,0.0,0.0,0.0
3.907081197088384e+18,0.0,0,1,0.0,0.0,0.0
3.910983669796783e+18,0.0,0,1,0.0,0.0,0.0
3.911997667197443e+18,0.0,0,1,0.0,0.0,0.0
3.9191742998554783e+18,0.0,0,1,0.0,0.0,0.0
3.923766029921023e+18,0.0,0,1,0.0,0.0,0.0
3.925368433214966e+18,0.0,0,1,0.0,0.0,0.0
3.9264232865768387e+18,0.0,0,1,0.0,0.0,0.0
3.930688517098516e+18,0.0,0,1,0.0,0.0,0.0
3.931992636670881e+18,0.0,0,1,0.0,0.0,0.0
3.9358087251850527e+18,0.0,0,1,0.0,0.0,0.0
3.9377148767849513e+18,0.0,0,1,0.0,0.0,0.0
3.9399252750390856e+18,0.0,0,1,0.0,0.0,0.0
3.941019213896464e+18,0.0,0,1,0.0,0.0,0.0
3.9426307672206725e+18,0.0,0,1,0.0,0.0,0.0
3.943533600390907e+18,0.0,0,1,0.0,0.0,0.0
3.944088772635001e+18,0.0,0,1,0.0,0.0,0.0
3.9446586147778493e+18,0.0,0,1,0.0,0.0,0.0
3.9460879134598236e+18,0.0,0,1,0.0,0.0,0.0
3.949214983441029e+18,0.0,0,1,0.0,0.0,0.0
3.949329502284749e+18,0.0,0,1,0.0,0.0,0.0
3.9517232563435505e+18,0.0,0,1,0.0,0.0,0.0
3.952087967771303e+18,0.0,0,1,0.0,0.0,0.0
3.9534334162307287e+18,0.0,0,1,0.0,0.0,0.0
3.953764659057082e+18,0.0,0,1,0.0,0.0,0.0
3.956048468100539e+18,0.0,0,1,0.0,0.0,0.0
3.957509601040585e+18,0.0,0,1,0.0,0.0,0.0
3.962024093501275e+18,0.0,0,1,0.0,0.0,0.0
3.975304792994095e+18,0.0,0,1,0.0,0.0,0.0
3.975392755164484e+18,0.0,0,1,0.0,0.0,0.0
3.97608873368266e+18,0.0,0,1,0.0,0.0,0.0
3.9770780136003123e+18,0.0,0,1,0.0,0.0,0.0
3.9772343460144195e+18,0.0,0,1,0.0,0.0,0.0
3.9784497813003924e+18,0.0,0,1,0.0,0.0,0.0
3.9877394042728873e+18,0.0,0,1,0.0,0.0,0.0
3.988071780777703e+18,0.0,0,1,0.0,0.0,0.0
3.988187872032604e+18,0.0,0,1,0.0,0.0,0.0
3.9882055659303337e+18,0.0,0,1,0.0,0.0,0.0
3.99322264008227e+18,0.0,0,1,0.0,0.0,0.0
3.994879592543699e+18,0.0,0,1,0.0,0.0,0.0
3.995532094997545e+18,0.0,0,1,0.0,0.0,0.0
3.9965989271989965e+18,0.0,0,1,0.0,0.0,0.0
3.9992408732833116e+18,0.0,0,1,0.0,0.0,0.0
3.9998454624242483e+18,0.0,0,1,0.0,0.0,0.0
4.0024130371646454e+18,0.0,0,1,0.0,0.0,0.0
4.004713168329654e+18,0.0,0,1,0.0,0.0,0.0
4.0087112658678656e+18,0.0,0,1,0.0,0.0,0.0
4.008804082027255e+18,0.0,0,1,0.0,0.0,0.0
4.0139559900690135e+18,0.0,0,1,0.0,0.0,0.0
4.01397872114956e+18,0.0,0,1,0.0,0.0,0.0
4.0161644579077693e+18,0.0,0,1,0.0,0.0,0.0
4.017263283405469e+18,0.0,0,1,0.0,0.0,0.0
4.017323550554339e+18,0.0,0,1,0.0,0.0,0.0
4.0202048772545997e+18,0.0,0,1,0.0,0.0,0.0
4.022565861939832e+18,0.0,0,1,0.0,0.0,0.0
4.022641794255718e+18,0.0,0,1,0.0,0.0,0.0
4.0236166251788e+18,0.0,0,1,0.0,0.0,0.0
4.027747397961574e+18,0.0,0,1,0.0,0.0,0.0
4.0284270536991273e+18,0.0,0,1,0.0,0.0,0.0
4.029507714735308e+18,0.0,0,1,0.0,0.0,0.0
4.0297498716870835e+18,0.0,0,1,0.0,0.0,0.0
4.0303922042212193e+18,0.0,0,1,0.0,0.0,0.0
4.0303956399532247e+18,0.0,0,1,0.0,0.0,0.0
4.030635536196757e+18,0.0,0,1,0.0,0.0,0.0
4.030708912786799e+18,0.0,0,1,0.0,0.0,0.0
4.0311810496936765e+18,0.0,0,1,0.0,0.0,0.0
4.0314084298979205e+18,0.0,0,1,0.0,0.0,0.0
4.0314931343382595e+18,0.0,0,1,0.0,0.0,0.0
4.0316730214228977e+18,0.0,0,1,0.0,0.0,0.0
4.0324033037048243e+18,0.0,0,1,0.0,0.0,0.0
4.0343595620553564e+18,0.0,0,1,0.0,0.0,0.0
4.0350345544693944e+18,0.0,0,1,0.0,0.0,0.0
4.037073643537925e+18,0.0,0,1,0.0,0.0,0.0
4.037121179310445e+18,0.0,0,1,0.0,0.0,0.0
4.0375113883571144e+18,0.0,0,1,0.0,0.0,0.0
4.037717032428034e+18,0.0,0,1,0.0,0.0,0.0
4.0377858857396086e+18,0.0,0,1,0.0,0.0,0.0
4.038768306117032e+18,0.0,0,1,0.0,0.0,0.0
4.03912975910425e+18,0.0,0,1,0.0,0.0,0.0
4.039279455324237e+18,0.0,0,1,0.0,0.0,0.0
4.0403825753361306e+18,0.0,0,1,0.0,0.0,0.0
4.0418602295026e+18,0.0,0,1,0.0,0.0,0.0
